Rvote,Dvote,Pvote,party,Ovote,SNSPA,Republican,Democrat,Rep or Dem,Independent,No Party,Other,male,vote,Cons.com,Share,Discuss,Brag,Fact Check,Campaign info on SNS,Discover who your friends voted for on SNS,Friend of candidate or political group on SNS,Post content related to a candidate or campaign,Join a political group on SNS,Start a political group on SNS,Get campaign info from Twitter,Follow on Twitter,Include politica links on Twitter,Follow election results on Twitter,View Affirming,View Neutral,View Disconfirming,How liberal,Ideological intensity ,age,educ,empl,hisp,black,inc,Use SNS,weight
1,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,5,5,1,0,0,NA,1,3.2
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,1,4,5,1,0,0,NA,0,10.72
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,6,0,0,0,NA,0,3.24
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,3,6,1,0,0,8,1,2.76
1,0,1,1,0,NA,1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,0,0,5,0,5
NA,NA,NA,1,NA,NA,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,1,1,1,1,0,10.72
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4,2,5,6,1,0,0,6,0,1.28
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,2,2,3,7,1,0,1,6,1,4.36
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,1,0,2,2,1,5,0,0,0,NA,1,4.72
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,4,6,1,0,0,9,1,3.96
